Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
45,Chlorella,0,-0.40108927302865266,0.4761904761904762,-0.6790906938195596,-0.350414397347857,0.9140895098271371,0.8966611413686952,0.9140895098271371,0.7168837319441156,0.5582287473360171
45,Brachionus,0,-0.2789012550319678,0.6095238095238096,-0.33933222827373904,-0.0032678190859578497,0.7623490409661379,0.531517878285579,0.7623490409661379,-0.19990528060620413,-0.3293866919251717
46,Chlorella,0,-0.8356618517641488,0.6095238095238096,0.6066303575657116,-0.798531849396164,0.657494672034099,0.6064409187781199,0.657494672034099,0.3959744257636751,0.7549609282500592
46,Brachionus,0,-0.6384560738811272,-0.24761904761904766,0.8007103954534691,-0.5748046412502961,-0.024579682690030788,-0.22832109874496806,-0.024579682690030788,-0.576414870944826,0.7690741179256454
47,Chlorella,0,-0.6430026047833295,0.4761904761904762,-0.4050674875680796,-0.622827373904807,0.7574236324887521,0.7025811034809378,0.7574236324887521,0.3345962585839451,0.11901491830452286
47,Brachionus,0,-0.38659720577788304,-0.33333333333333337,-0.42865261662325366,-0.29547714894624677,0.25853658536585367,-0.36500118399242243,0.25853658536585367,0.6445181150840635,0.7572341937011603
48,Chlorella,0,-0.805541084537059,0.8380952380952382,-0.33165995737627285,-0.720483068908359,0.8746862420080512,0.8365143263083116,0.8746862420080512,0.03016812692398769,-0.2517167890125503
48,Brachionus,0,-0.6327729102533743,-0.5333333333333333,-0.29500355197726735,-0.5635330333885864,-0.5487568079564291,-0.760644091877812,-0.5487568079564291,-0.2561686005209567,0.12782382192753966
49,Chlorella,0,-0.2169547714894625,0.4952380952380953,-0.796163864551267,0.2932986028889415,0.7488041676533271,0.6570210750651196,0.7488041676533271,0.7745678427658063,-0.6343831399479044
49,Brachionus,0,-0.007624911200568317,0.09523809523809525,-0.40071039545346915,-0.027231825716315418,0.20483068908358987,-0.12517167890125502,0.20483068908358987,-0.6682926829268293,-0.733080748283211
50,Chlorella,0,-0.7943641960691452,0.7047619047619048,0.3689793985318494,-0.7903859815297183,0.5326545110111296,0.3921856500118399,0.5326545110111296,-0.25465309022022264,0.3947430736443287
